epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,3073.46,1.44711,2.25442,1.83215,1.74254,0,0.55848,0.55219,0.56449,0.33708,0.70395,0.48085,0.55682,0.3311,1.4894,1.74381,1.78342,1.79094,0,0.00081685,0.00081685,0.00081685
39,3154.06,1.45791,2.26133,1.84504,1.74911,0,0.51297,0.53928,0.53554,0.328,0.47952,0.57226,0.53183,0.32257,1.49673,1.71696,1.79788,1.81333,0,0.0008119,0.0008119,0.0008119
40,3234.57,1.43581,2.25076,1.83624,1.73947,0,0.60452,0.55278,0.54695,0.32549,0.66979,0.46907,0.53451,0.31092,1.48386,1.8143,1.86179,1.7869,0,0.00080695,0.00080695,0.00080695
41,3315.34,1.42804,2.20873,1.81591,1.72972,0,0.66408,0.54738,0.54475,0.33237,0.65172,0.53802,0.53826,0.32729,1.52469,1.77146,1.85401,1.81056,0,0.000802,0.000802,0.000802
42,3395.69,1.42241,2.22447,1.78627,1.7169,0,0.72323,0.4872,0.53193,0.32485,0.71018,0.49901,0.5321,0.31277,1.50626,1.73109,1.7877,1.86253,0,0.00079705,0.00079705,0.00079705
43,3476.06,1.42266,2.24465,1.79808,1.72113,0,0.62837,0.5369,0.56712,0.34826,0.62089,0.52322,0.55349,0.33183,1.44945,1.77929,1.70896,1.72138,0,0.0007921,0.0007921,0.0007921
44,3556.63,1.40846,2.16962,1.74688,1.69852,0,0.70251,0.51949,0.56792,0.33745,0.76415,0.50898,0.55907,0.32885,1.46353,1.70885,1.73109,1.74823,0,0.00078715,0.00078715,0.00078715
45,3636.9,1.40562,2.21233,1.73238,1.69745,0,0.47445,0.59056,0.55924,0.34275,0.46226,0.5727,0.5357,0.32336,1.50071,1.79919,1.76937,1.79812,0,0.0007822,0.0007822,0.0007822
46,3718.12,1.39666,2.19199,1.72971,1.6894,0,0.67933,0.59048,0.59774,0.37062,0.67255,0.5736,0.57654,0.34005,1.43987,1.73374,1.65462,1.74348,0,0.00077725,0.00077725,0.00077725
47,3798.27,1.39214,2.17521,1.73149,1.68422,0,0.60357,0.61249,0.61273,0.37518,0.59848,0.58952,0.59491,0.36055,1.44899,1.68431,1.63697,1.76576,0,0.0007723,0.0007723,0.0007723
48,3879.34,1.3711,2.13853,1.70706,1.67201,0,0.7313,0.58049,0.61085,0.3645,0.70627,0.57513,0.60469,0.36069,1.39679,1.65703,1.63247,1.73769,0,0.00076735,0.00076735,0.00076735
49,3960.65,1.36318,2.13768,1.69176,1.66726,0,0.65677,0.59082,0.60426,0.36933,0.7127,0.51109,0.57919,0.34897,1.41573,1.65816,1.6441,1.69385,0,0.0007624,0.0007624,0.0007624
50,4041.04,1.36625,2.13975,1.68206,1.66444,0,0.60932,0.60921,0.5993,0.38359,0.58755,0.60117,0.58751,0.36525,1.3992,1.68842,1.57905,1.68346,0,0.00075745,0.00075745,0.00075745
51,4121.36,1.36144,2.17271,1.70055,1.6647,0,0.69348,0.5662,0.58892,0.38745,0.68497,0.57473,0.57954,0.35884,1.43212,1.68122,1.68889,1.70527,0,0.0007525,0.0007525,0.0007525
52,4201.27,1.34057,2.1044,1.66997,1.65338,0,0.68769,0.57863,0.61039,0.38081,0.68261,0.57257,0.60343,0.37086,1.38823,1.66687,1.64533,1.69887,0,0.00074755,0.00074755,0.00074755
53,4281.71,1.33676,2.12842,1.64338,1.64207,0,0.72589,0.5574,0.61618,0.3972,0.72216,0.55532,0.6099,0.38118,1.34511,1.64133,1.6084,1.65699,0,0.0007426,0.0007426,0.0007426
54,4362.98,1.33236,2.12226,1.64064,1.63068,0,0.58529,0.61327,0.61176,0.39579,0.58372,0.61595,0.60799,0.36646,1.34882,1.67382,1.62509,1.67277,0,0.00073765,0.00073765,0.00073765
55,4444.02,1.34024,2.1408,1.65591,1.63597,0,0.61187,0.60786,0.60454,0.38823,0.63322,0.57124,0.59247,0.36329,1.34594,1.61729,1.55474,1.67776,0,0.0007327,0.0007327,0.0007327
56,4524.72,1.32456,2.11308,1.63354,1.63552,0,0.74398,0.58822,0.60918,0.40559,0.70627,0.58536,0.60807,0.37881,1.35343,1.62525,1.59818,1.66746,0,0.00072775,0.00072775,0.00072775
57,4605.74,1.3177,2.11123,1.59975,1.6287,0,0.72617,0.54998,0.59795,0.39367,0.68062,0.53497,0.58406,0.36896,1.33154,1.63173,1.56646,1.68422,0,0.0007228,0.0007228,0.0007228
58,4685.96,1.31301,2.06307,1.57667,1.61687,0,0.70038,0.57513,0.62455,0.41592,0.67633,0.55859,0.60952,0.37943,1.31489,1.66089,1.58246,1.65117,0,0.00071785,0.00071785,0.00071785
59,4766.84,1.3293,2.09826,1.62112,1.63092,0,0.68913,0.55911,0.59845,0.39918,0.60589,0.61362,0.59397,0.37054,1.41378,1.66248,1.63507,1.66004,0,0.0007129,0.0007129,0.0007129
60,4847.74,1.32217,2.08486,1.61115,1.61906,0,0.6514,0.58827,0.61039,0.40722,0.63887,0.56084,0.58198,0.37537,1.35783,1.59159,1.57761,1.64727,0,0.00070795,0.00070795,0.00070795
