x,class-0,class-1,class-2,class-3,class-4,mean
0.59,0.638518,0.802673,0.771055,0.887976,0.70973,0.764823090909091
0.6,0.645846,0.79976,0.773252,0.907417,0.71327,0.7701302727272726
0.61,0.653748,0.798467,0.775448,0.924068,0.709685,0.7759838181818182
0.62,0.655343,0.797174,0.777656,0.927299,0.706111,0.7826316363636365
0.63,0.658047,0.795881,0.798333,0.930531,0.720581,0.7902450000000001
0.64,0.670435,0.794588,0.874594,0.933763,0.723111,0.7973519090909092
0.65,0.69798,0.793295,0.871513,0.936994,0.724031,0.8040706363636364
0.66,0.709748,0.792003,0.875423,0.940226,0.737221,0.8105158181818183
0.67,0.725607,0.802538,0.879334,0.943457,0.766981,0.817659909090909
0.68,0.737706,0.817224,0.883245,0.946689,0.797485,0.8243963636363637
0.69,0.753597,0.820738,0.887155,0.94992,0.789883,0.8297536363636364
0.7,0.736876,0.814839,0.891066,0.953152,0.783547,0.8347932727272728
0.71,0.721771,0.810716,0.894976,0.956383,0.810182,0.8406771818181817
0.72,0.74459,0.847842,0.898887,0.959615,0.803405,0.8464366363636363
0.73,0.73997,0.841153,0.902797,0.959629,0.790543,0.850747909090909
0.74,0.721404,0.834737,0.906708,0.959207,0.775971,0.8552961818181818
0.75,0.712554,0.826513,0.912554,0.958786,0.863265,0.8603762727272728
0.76,0.735663,0.820776,0.92142,0.958364,0.911209,0.8661812727272729
0.77,0.7576,0.816593,0.930286,0.956414,0.910496,0.8713449999999999
0.78,0.739598,0.813852,0.939152,0.95529,0.907142,0.8763100000000001
0.79,0.736244,0.88173,0.948017,0.961535,0.904977,0.8819452727272726
0.8,0.689475,0.922858,0.983333,0.982222,0.902812,0.8871215454545456
0.81,0.67845,0.919656,1,1,0.900647,0.8902483636363637
0.82,0.664529,0.920444,1,1,0.893063,0.8971970909090909
0.83,0.667771,0.977333,1,1,0.882311,0.9041904545454545
0.84,0.694745,1,1,1,0.849286,0.9112547272727274
0.85,0.669164,1,1,1,0.813556,0.9190337272727274
0.86,0.701261,1,1,1,0.744386,0.9250288181818181
0.87,0.729608,1,1,1,1,0.9341423636363636
0.88,0.756026,1,1,1,1,0.9436326363636364
0.89,0.743569,1,1,1,1,0.9522250909090908
0.9,0.86035,1,1,1,1,0.9605154545454546
0.91,0.810431,1,1,1,1,0.9699205454545453
0.92,1,1,1,1,1,0.9799997272727272
0.93,1,1,1,1,1,0.9849159090909091
0.94,1,1,1,1,1,0.9893518181818183
0.95,1,1,1,1,1,0.9940141818181818
0.96,1,1,1,1,1,0.9965532727272727
0.97,1,1,1,1,1,1
0.98,1,1,1,1,1,1
0.99,1,1,1,1,1,1
1,1,1,1,1,1,1
