x,class-0,class-1,class-2,class-3,class-4,mean
0.28,0.623781,0.658598,0.715123,0.869112,0.389755,0.6523619090909091
0.29,0.623997,0.662853,0.716218,0.87094,0.392317,0.6536548181818183
0.3,0.628479,0.667091,0.717309,0.87273,0.386769,0.6549175454545455
0.31,0.630242,0.671635,0.718399,0.873614,0.379487,0.6562255454545455
0.32,0.630992,0.676114,0.723578,0.874481,0.376575,0.6573545454545455
0.33,0.631742,0.685543,0.731265,0.875348,0.374444,0.6582882727272729
0.34,0.632798,0.691626,0.752361,0.876213,0.372311,0.6590874545454547
0.35,0.636546,0.697045,0.736909,0.877077,0.364121,0.6597513636363637
0.36,0.640329,0.699674,0.727041,0.87794,0.366622,0.6602306363636365
0.37,0.638334,0.702254,0.718825,0.878801,0.370141,0.660504090909091
0.38,0.640151,0.704812,0.71206,0.879661,0.363672,0.6604292727272729
0.39,0.640644,0.70735,0.713292,0.88052,0.358518,0.6599793636363637
0.4,0.64506,0.704316,0.71452,0.881377,0.357569,0.6590398181818181
0.41,0.642742,0.700396,0.715744,0.882233,0.357625,0.6583714545454545
0.42,0.639104,0.696461,0.716964,0.883088,0.352799,0.6578212727272729
0.43,0.63438,0.69251,0.71818,0.883941,0.348613,0.657365
0.44,0.635952,0.688544,0.719391,0.884793,0.344916,0.6572019090909091
0.45,0.637477,0.688879,0.720599,0.885644,0.341034,0.6571538181818183
0.46,0.638982,0.69074,0.721803,0.886493,0.336923,0.6572610909090909
0.47,0.642722,0.692588,0.723003,0.887342,0.33569,0.6577355454545454
0.48,0.646606,0.694424,0.72459,0.888189,0.329453,0.6587359090909092
0.49,0.649316,0.696248,0.733296,0.892622,0.319901,0.659738
0.5,0.647133,0.69806,0.737463,0.907739,0.307287,0.6606296363636364
0.51,0.647339,0.701357,0.738519,0.913023,0.308501,0.6615091818181817
0.52,0.651878,0.704974,0.739573,0.918256,0.310153,0.6623550909090908
0.53,0.65995,0.708544,0.740623,0.923284,0.311032,0.6630830909090908
0.54,0.661184,0.706246,0.74167,0.92622,0.297421,0.6632974545454546
0.55,0.662199,0.701175,0.742715,0.929141,0.287405,0.6632960909090909
0.56,0.663211,0.696076,0.743756,0.932045,0.286921,0.6633037272727274
0.57,0.669056,0.690948,0.744794,0.934934,0.281733,0.6628303636363637
0.58,0.671852,0.683632,0.745829,0.937807,0.282266,0.6621702727272728
0.59,0.65899,0.67432,0.746861,0.940665,0.274213,0.6617457272727273
0.6,0.661096,0.666023,0.747889,0.951461,0.26484,0.6611537272727273
0.61,0.665211,0.662549,0.748915,0.960536,0.260889,0.6607441818181818
0.62,0.654491,0.659063,0.749943,0.962279,0.256928,0.6604404545454545
0.63,0.651883,0.655563,0.759427,0.964016,0.25764,0.6600121818181819
0.64,0.657904,0.652052,0.790909,0.965747,0.253475,0.6591450000000001
0.65,0.665225,0.648527,0.769992,0.967472,0.248963,0.6576608181818182
0.66,0.664683,0.644989,0.771514,0.969192,0.249731,0.6553372727272728
0.67,0.671556,0.647636,0.773029,0.970906,0.242178,0.652792090909091
0.68,0.676692,0.652367,0.774537,0.972614,0.221701,0.6494743636363638
0.69,0.671368,0.639272,0.776036,0.974317,0.212699,0.6446955454545455
0.7,0.632808,0.62222,0.777529,0.976014,0.204847,0.6383417272727274
0.71,0.600049,0.610545,0.779014,0.977706,0.196203,0.6319128181818183
0.72,0.598261,0.611259,0.780492,0.979391,0.188711,0.6244053636363637
0.73,0.578092,0.589746,0.781962,0.974927,0.175503,0.6156997272727274
0.74,0.540092,0.570338,0.783426,0.969583,0.162255,0.6066980000000001
0.75,0.523071,0.546939,0.7856,0.964187,0.150828,0.5966477272727273
0.76,0.523178,0.531386,0.788867,0.95873,0.144431,0.5867782727272727
0.77,0.515558,0.520537,0.792098,0.934934,0.124071,0.5758676363636362
0.78,0.479773,0.510073,0.795295,0.921862,0.119491,0.5644837272727273
0.79,0.448703,0.522676,0.798456,0.916229,0.116753,0.5524108181818181
0.8,0.371757,0.49893,0.810717,0.925516,0.114007,0.539950909090909
0.81,0.33212,0.483118,0.812363,0.931743,0.111254,0.5258180909090909
0.82,0.264527,0.468576,0.806865,0.920299,0.103162,0.5104816363636363
0.83,0.253244,0.475623,0.801315,0.908628,0.093189,0.4944858181818183
0.84,0.236309,0.435963,0.795714,0.897216,0.071016,0.4776592727272728
0.85,0.212243,0.411738,0.775219,0.885564,0.055634,0.459083090909091
0.86,0.208394,0.346546,0.733539,0.867466,0.037373,0.43951581818181823
0.87,0.19501,0.319535,0.711072,0.851911,0.025557,0.41782309090909087
0.88,0.171961,0.296904,0.674083,0.840777,0.023705,0.39376045454545444
0.89,0.132806,0.260436,0.656612,0.829333,0.021849,0.3618633636363637
0.9,0.119783,0.230791,0.603904,0.806655,0.01999,0.32463363636363635
0.91,0.085133,0.204447,0.571585,0.765431,0.018127,0.28257863636363634
0.92,0.073063,0.183705,0.484812,0.719657,0.016261,0.24309272727272727
0.93,0.05971,0.162478,0.359603,0.643804,0.014392,0.2048548181818182
0.94,0.038837,0.079223,0.23493,0.424671,0,0.1683560909090909
